bird+Aug+Dim+F+N+Pl+Acc	birdegetinojn
bird+Aug+Dim+F+N+Pl+Nom	birdegetinoj
bird+Aug+Dim+F+N+Sg+Acc	birdegetinon
bird+Aug+Dim+F+N+Sg+Nom	birdegetino
bird+Aug+Dim+N+Pl+Acc	birdegetojn
bird+Aug+Dim+N+Pl+Nom	birdegetoj
bird+Aug+Dim+N+Sg+Acc	birdegeton
bird+Aug+Dim+N+Sg+Nom	birdegeto
bird+Aug+F+Dim+N+Pl+Acc	birdeginetojn
bird+Aug+F+Dim+N+Pl+Nom	birdeginetoj
bird+Aug+F+Dim+N+Sg+Acc	birdegineton
bird+Aug+F+Dim+N+Sg+Nom	birdegineto
bird+Aug+F+N+Pl+Acc	birdeginojn
bird+Aug+F+N+Pl+Nom	birdeginoj
bird+Aug+F+N+Sg+Acc	birdeginon
bird+Aug+F+N+Sg+Nom	birdegino
bird+Aug+N+Pl+Acc	birdegojn
bird+Aug+N+Pl+Nom	birdegoj
bird+Aug+N+Sg+Acc	birdegon
bird+Aug+N+Sg+Nom	birdego
bird+Dim+Aug+F+N+Pl+Acc	birdeteginojn
bird+Dim+Aug+F+N+Pl+Nom	birdeteginoj
bird+Dim+Aug+F+N+Sg+Acc	birdeteginon
bird+Dim+Aug+F+N+Sg+Nom	birdetegino
bird+Dim+Aug+N+Pl+Acc	birdetegojn
bird+Dim+Aug+N+Pl+Nom	birdetegoj
bird+Dim+Aug+N+Sg+Acc	birdetegon
bird+Dim+Aug+N+Sg+Nom	birdetego
bird+Dim+F+Aug+N+Pl+Acc	birdetinegojn
bird+Dim+F+Aug+N+Pl+Nom	birdetinegoj
bird+Dim+F+Aug+N+Sg+Acc	birdetinegon
bird+Dim+F+Aug+N+Sg+Nom	birdetinego
bird+Dim+F+N+Pl+Acc	birdetinojn
bird+Dim+F+N+Pl+Nom	birdetinoj
bird+Dim+F+N+Sg+Acc	birdetinon
bird+Dim+F+N+Sg+Nom	birdetino
bird+Dim+N+Pl+Acc	birdetojn
bird+Dim+N+Pl+Nom	birdetoj
bird+Dim+N+Sg+Acc	birdeton
bird+Dim+N+Sg+Nom	birdeto
bird+F+Aug+Dim+N+Pl+Acc	birdinegetojn
bird+F+Aug+Dim+N+Pl+Nom	birdinegetoj
bird+F+Aug+Dim+N+Sg+Acc	birdinegeton
bird+F+Aug+Dim+N+Sg+Nom	birdinegeto
bird+F+Aug+N+Pl+Acc	birdinegojn
bird+F+Aug+N+Pl+Nom	birdinegoj
bird+F+Aug+N+Sg+Acc	birdinegon
bird+F+Aug+N+Sg+Nom	birdinego
bird+F+Dim+Aug+N+Pl+Acc	birdinetegojn
bird+F+Dim+Aug+N+Pl+Nom	birdinetegoj
bird+F+Dim+Aug+N+Sg+Acc	birdinetegon
bird+F+Dim+Aug+N+Sg+Nom	birdinetego
bird+F+Dim+N+Pl+Acc	birdinetojn
bird+F+Dim+N+Pl+Nom	birdinetoj
bird+F+Dim+N+Sg+Acc	birdineton
bird+F+Dim+N+Sg+Nom	birdineto
bird+F+N+Pl+Acc	birdinojn
bird+F+N+Pl+Nom	birdinoj
bird+F+N+Sg+Acc	birdinon
bird+F+N+Sg+Nom	birdino
bird+N+Pl+Acc	birdojn
bird+N+Pl+Nom	birdoj
bird+N+Sg+Acc	birdon
bird+N+Sg+Nom	birdo
elefant+Aug+Dim+F+N+Pl+Acc	elefantegetinojn
elefant+Aug+Dim+F+N+Pl+Nom	elefantegetinoj
elefant+Aug+Dim+F+N+Sg+Acc	elefantegetinon
elefant+Aug+Dim+F+N+Sg+Nom	elefantegetino
elefant+Aug+Dim+N+Pl+Acc	elefantegetojn
elefant+Aug+Dim+N+Pl+Nom	elefantegetoj
elefant+Aug+Dim+N+Sg+Acc	elefantegeton
elefant+Aug+Dim+N+Sg+Nom	elefantegeto
elefant+Aug+F+Dim+N+Pl+Acc	elefanteginetojn
elefant+Aug+F+Dim+N+Pl+Nom	elefanteginetoj
elefant+Aug+F+Dim+N+Sg+Acc	elefantegineton
elefant+Aug+F+Dim+N+Sg+Nom	elefantegineto
elefant+Aug+F+N+Pl+Acc	elefanteginojn
elefant+Aug+F+N+Pl+Nom	elefanteginoj
elefant+Aug+F+N+Sg+Acc	elefanteginon
elefant+Aug+F+N+Sg+Nom	elefantegino
elefant+Aug+N+Pl+Acc	elefantegojn
elefant+Aug+N+Pl+Nom	elefantegoj
elefant+Aug+N+Sg+Acc	elefantegon
elefant+Aug+N+Sg+Nom	elefantego
elefant+Dim+Aug+F+N+Pl+Acc	elefanteteginojn
elefant+Dim+Aug+F+N+Pl+Nom	elefanteteginoj
elefant+Dim+Aug+F+N+Sg+Acc	elefanteteginon
elefant+Dim+Aug+F+N+Sg+Nom	elefantetegino
elefant+Dim+Aug+N+Pl+Acc	elefantetegojn
elefant+Dim+Aug+N+Pl+Nom	elefantetegoj
elefant+Dim+Aug+N+Sg+Acc	elefantetegon
elefant+Dim+Aug+N+Sg+Nom	elefantetego
elefant+Dim+F+Aug+N+Pl+Acc	elefantetinegojn
elefant+Dim+F+Aug+N+Pl+Nom	elefantetinegoj
elefant+Dim+F+Aug+N+Sg+Acc	elefantetinegon
elefant+Dim+F+Aug+N+Sg+Nom	elefantetinego
elefant+Dim+F+N+Pl+Acc	elefantetinojn
elefant+Dim+F+N+Pl+Nom	elefantetinoj
elefant+Dim+F+N+Sg+Acc	elefantetinon
elefant+Dim+F+N+Sg+Nom	elefantetino
elefant+Dim+N+Pl+Acc	elefantetojn
elefant+Dim+N+Pl+Nom	elefantetoj
elefant+Dim+N+Sg+Acc	elefanteton
elefant+Dim+N+Sg+Nom	elefanteto
elefant+F+Aug+Dim+N+Pl+Acc	elefantinegetojn
elefant+F+Aug+Dim+N+Pl+Nom	elefantinegetoj
elefant+F+Aug+Dim+N+Sg+Acc	elefantinegeton
elefant+F+Aug+Dim+N+Sg+Nom	elefantinegeto
elefant+F+Aug+N+Pl+Acc	elefantinegojn
elefant+F+Aug+N+Pl+Nom	elefantinegoj
elefant+F+Aug+N+Sg+Acc	elefantinegon
elefant+F+Aug+N+Sg+Nom	elefantinego
elefant+F+Dim+Aug+N+Pl+Acc	elefantinetegojn
